id,sku,name,category,inStock,minThreshold,supplier,pricePerUnit,createdAt
"2","SP-1X1","Structure Pipe 1x1","Structure","45","5","trina construction","1000","2026-05-23T08:50:32.807Z"
"1","ER-3M","Earthing Rod with Nut Bolts 3m","Earthing","98","5","ganadish traders","5","2026-05-21T12:12:23.652Z"
"3","EDC-16-GR","Earthing Down Conductor 16 sq mm Green","Earthing","100","10","Swayog Internal","0","2026-07-07T10:52:48.846Z"
"4","EPC-FRP","Earthing Pit Cover FRP","Earthing","100","10","Swayog Internal","0","2026-07-07T10:52:50.353Z"
"5","EBFC-25KG","Earthing Backfill Compound 25 Kg Bag","Earthing","100","10","Swayog Internal","0","2026-07-07T10:52:51.643Z"
"6","LA-01","Lightning Arrestor","Protection","100","10","Swayog Internal","0","2026-07-07T10:52:52.907Z"
"7","ACC-4-CU","AC Cable 1C x 4 sq mm Cu Flexible","Cables","100","10","Swayog Internal","0","2026-07-07T10:52:54.170Z"
"8","DCC-4-RB","DC Cable 4 sq mm (Red & Black)","Cables","100","10","Swayog Internal","0","2026-07-07T10:52:55.438Z"
"9","SP-2X2","Structure Pipe 2x2","Structure","100","10","Swayog Internal","0","2026-07-07T10:52:56.734Z"
"10","SP-1.5X1.5","Structure Pipe 1.5x1.5","Structure","100","10","Swayog Internal","0","2026-07-07T10:52:58.026Z"
"11","BP-01","Base Plate","Structure","100","10","Swayog Internal","0","2026-07-07T10:53:00.623Z"
"12","AB-01","Anchor Bolts","Hardware","100","10","Swayog Internal","0","2026-07-07T10:53:01.899Z"
"13","MR-01","Monorail","Structure","100","10","Swayog Internal","0","2026-07-07T10:53:03.437Z"
"14","MC-01","Mid Clamp","Hardware","100","10","Swayog Internal","0","2026-07-07T10:53:04.711Z"
"15","EC-01","End Clamp","Hardware","100","10","Swayog Internal","0","2026-07-07T10:53:05.998Z"
"16","RV-01","Rivet","Hardware","100","10","Swayog Internal","0","2026-07-07T10:53:07.273Z"
"17","SB-01","Silicon Bottle","Chemicals","100","10","Swayog Internal","0","2026-07-07T10:53:08.560Z"
"18","CP-25","Conduit Pipe 25 mm","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:09.825Z"
"19","MC-25-PVC","Mounting Clamps 25 mm PVC","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:11.673Z"
"20","EL-25","25 mm Elbow","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:12.957Z"
"21","T-25","25 mm T","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:14.228Z"
"22","EIT-01","Electrical Insulation Tape","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:15.522Z"
"23","CT-PKT","Cable Tie Packet","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:16.854Z"
"24","FC-1IN","Flexible Conduit – 1 inch","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:18.143Z"
"25","JB-SS","J Bolt SS with Single Washer and Nut","Hardware","100","10","Swayog Internal","0","2026-07-07T10:53:19.729Z"
"26","MC4-PR","MC4 Connector Pair","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:21.050Z"
"27","INV-01","Inverter","Electronics","100","10","Swayog Internal","0","2026-07-07T10:53:22.387Z"
"28","DCR-PNL","DCR Panel","Electronics","100","10","Swayog Internal","0","2026-07-07T10:53:23.678Z"
"29","ACDB-01","ACDB","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:24.943Z"
"30","DCDB-01","DCDB","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:26.202Z"
"31","WPL-SB","Waterproofing Liquid (small bottle)","Chemicals","100","10","Swayog Internal","0","2026-07-07T10:53:27.503Z"
"32","DB-01","Dewalt Bottle","Tools","100","10","Swayog Internal","0","2026-07-07T10:53:28.780Z"
"33","PVCD-01","PVC Duct","Electrical","100","10","Swayog Internal","0","2026-07-07T10:53:30.045Z"
